bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	mags_workflow_mode	MAG_status	cov_long	cov_ilm	Rabund_long	Rabund_ilm	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count
bin.0000	3185	2135	1	1	1	16	p__Firmicutes (UID241)	44.49	0	0	1887081	0	74	74	34642	34642	25501	25501	95420	95420	43.4	1.16	79.19	3332	d__Bacteria;p__Firmicutes_G;c__UBA5435;o__UBA5435;f__;g__;s__	N/A	N/A	GCA_002426645.1	76.14	0.02	d__Bacteria;p__Firmicutes_G;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	36.25	0.5602694509517179	N/A	KP150725.1.1499 Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;uncultured;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	LQ	6.609132	5.893014	0.15082256	0.12643474	385735	24606	6.37899075790374	N	Bacteria	 Firmicutes	0	0
bin.0001	2328	1275	2	2	2	20	o__Clostridiales (UID1120)	88.23	0.7	0	2065297	0	15	15	313321	313321	137686	137686	404409	404409	39.9	1.71	89.63	2337	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__DUPQ01;f__DUPQ01;g__DUPQ01;s__DUPQ01 sp012838235	99.77	0.9	GCA_012838235.1	99.77	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__DUPQ01;f__DUPQ01;g__DUPQ01;s__	taxonomic classification defined by topology and ANI	76.43	N/A	N/A	AB175382.1.1453 Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;uncultured;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	MQ	11.535326	11.735711	0.26323995	0.25178996	1267686	1313	0.103574544484991	N	Bacteria	 Firmicutes	0	0
bin.0002	2535	1466	1	1	1	17	k__Bacteria (UID2570)	65.6	0.55	0	1873135	0	49	49	46869	46869	38227	38227	202729	202729	37	1.61	78.63	2772	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas;s__Fermentimonas caenicola	98.61	0.91	GCF_001282625.1	98.61	0.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas;s__	taxonomic classification defined by topology and ANI	54.04	N/A	N/A	GQ135612.1.1386 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales UCG-001;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	MQ	4.854954	5.276762	0.11079166	0.113213055	207361	2273	1.09615597918606	N	Bacteria	 Bacteroidetes	0	0
bin.0003	3779	2573	1	1	1	19	p__Bacteroidetes (UID2605)	58.45	2.16	12.5	2960917	0	80	80	56139	56139	37011	37011	260421	260421	35.5	1.38	78.88	4474	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	38	0.8283876951820003	N/A	GU389675.1.1243 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	MQ	5.323365	5.2841125	0.12148095	0.11337076	369732	7663	2.0725823028572	N	Bacteria	 Bacteroidetes	0	0
bin.0004	2622	1151	3	3	3	21	p__Firmicutes (UID241)	88.21	5.79	0	2314745	0	14	14	310305	310305	165338	165338	526685	526685	53.1	1.85	88.52	2672	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__UBA5420;s__UBA5420 sp012518325	99.69	0.9	GCA_012518325.1	99.69	0.9	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__UBA5420;s__	taxonomic classification defined by topology and ANI	82.67	N/A	N/A	HQ156145.1.1410 Bacteria;Firmicutes;Limnochordia;MBA03;uncultured prokaryote	r10	2021-10-12	Nanopore-Illumina	MQ	11.891621	16.067673	0.2713707	0.34473228	1996219	11100	0.55605121482162	N	Bacteria	 Firmicutes	1	0
bin.0005	1751	981	1	1	1	16	p__Firmicutes (UID240)	39.93	0.96	0	1091360	0	36	36	38663	38663	30315	30315	73838	73838	40.8	1.75	76	2038	d__Bacteria;p__Firmicutes_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__;s__	taxonomic novelty determined using RED	29.66	0.7809134128821357	N/A	EF559141.1.1501 Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Tepidanaerobacter;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	LQ	4.831772	5.043162	0.110262625	0.10820115	119065	3408	2.86230210389283	N	Bacteria	 Firmicutes	0	0
bin.0006	2816	1383	3	2	2	21	p__Firmicutes (UID239)	94.12	4.74	16.67	2849916	0	15	15	600917	600917	189994	189994	991603	991603	55.3	1.74	85.4	2756	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__DTUO25;f__DTU025;g__UBA10085;s__UBA10085 sp003456765	98.99	0.95	GCA_003456765.1	98.99	0.95	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__DTUO25;f__DTU025;g__UBA10085;s__	taxonomic classification defined by topology and ANI	89.14	N/A	N/A	JX456451.1.1502 Bacteria;Firmicutes;Incertae Sedis;DTU014;uncultured Clostridiales bacterium	r10	2021-10-12	Nanopore-Illumina	HQ	30.029522	42.42305	0.68528366	0.9101875	2775791	42655	1.53667909435545	N	Bacteria	 Firmicutes	0	0
bin.0007	2746	1404	3	3	4	21	k__Bacteria (UID2495)	95.98	3.45	75	2625420	0	53	53	94143	94143	49536	49536	237863	237863	52.8	2.62	88.19	2726	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Sphaerochaeta;s__Sphaerochaeta sp004294855	98.82	0.92	GCA_004294855.1	98.82	0.92	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Sphaerochaeta;s__	taxonomic classification defined by topology and ANI	85.23	N/A	N/A	GQ138170.1.1398 Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	HQ	20.421616	24.548838	0.46602803	0.5266959	2370150	63365	2.67345948568656	N	Bacteria	 Spirochaetes	0	0
bin.0008	2737	1220	3	4	4	21	p__Firmicutes (UID241)	94.49	5.37	25	2608321	0	21	21	406148	406148	124205	124205	534939	534939	58.2	4.79	87.99	2682	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__DTU010 sp002391385	99.8	0.98	GCA_002391385.1	99.8	0.98	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__	taxonomic classification defined by topology and ANI	90.81	N/A	N/A	CZCA01001080.28.1546 Bacteria;Firmicutes;Limnochordia;MBA03;anaerobic digester metagenome	r10	2021-10-12	Nanopore-Illumina	MQ	27.407915	40.878857	0.6254577	0.8770568	2522915	9661	0.382930063042156	N	Bacteria	 Firmicutes	0	0
bin.0009	3890	2642	1	1	1	14	k__Bacteria (UID3187)	49.78	2.63	25	3344320	0	175	175	23152	23152	19110	19110	59991	59991	66.3	1.73	82.28	4394	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic classification fully defined by topology	32.48	0.8420286645116746	N/A	KF550883.1.1426 Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured bacterium	r10	2021-10-12	Nanopore-Illumina	LQ	4.734376	3.6925926	0.10804003	0.07922466	158034	7545	4.77428907703406	N	Bacteria	 Acidobacteria	0	0
