Genome	X2_cov.Mean	X4_cov.Mean	X3_cov.Mean	X1_cov.Mean	X104_cov.Mean
bin.0000	5.893014	6.767744	15.823027	6.609132	4.476332
bin.0001	11.735711	10.067926	32.228336	11.535326	9.510521
bin.0002	5.276762	8.722854	11.15635	4.854954	2.4551034
bin.0003	5.2841125	8.813789	13.328982	5.323365	2.9164453
bin.0004	16.067673	16.05165	31.38243	11.891621	7.716816
bin.0005	5.043162	5.9019833	10.462127	4.831772	1.4842968
bin.0006	42.42305	50.07272	76.853676	30.029522	20.936672
bin.0007	24.548838	19.812109	56.447044	20.421616	20.235
bin.0008	40.878857	39.875156	72.91446	27.407915	19.41285
bin.0009	3.6925926	3.4895957	9.827273	4.734376	3.5579727
bin.0010	261.8572	214.41551	783.72736	282.78488	256.13956
bin.0011	14.800086	21.229076	65.44338	23.209011	19.825396
bin.0012	5.892287	5.44521	12.206361	5.2275615	3.3738432
bin.0013	15.572426	10.552985	58.750988	20.350557	17.87647
bin.0014	6.708728	7.7255836	17.22013	6.89915	4.3484683
bin.0015	16.441854	28.382069	43.722317	16.112545	11.402899
bin.0016	10.134378	9.294283	21.377523	8.045903	5.7797747
bin.0017	19.10964	16.797207	38.767952	14.430352	11.066003
bin.0018	15.720452	17.039421	29.604282	11.232	8.373809
bin.0019	26.791515	35.308266	62.90231	23.382132	17.54727
bin.0020	7.069449	2.4295936	19.560629	7.384842	6.3767834
bin.0021	14.2106905	12.081666	30.418789	11.621587	10.25172
bin.0022	5.3396935	8.596846	11.060316	4.707885	2.478348
bin.0023	4.7840166	5.860868	8.963766	4.3795633	2.0039344
bin.0024	2.9503467	3.7627177	11.596985	4.8842716	3.6347268
bin.0025	18.945715	29.360605	33.112812	13.147317	13.106501
bin.0026	2.69455	2.436261	13.631005	5.9130654	4.4532905
bin.0027	372.67453	539.39105	635.8243	244.32413	181.0927
bin.0028	7.716295	10.19183	13.972832	5.6751556	3.066113
bin.0029	16.645508	24.61389	49.906055	17.50783	12.1299095
bin.0030	11.7954235	9.441361	25.05519	9.598522	8.033482
bin.0031	5.257039	8.209226	14.755594	6.015613	3.4671533
bin.0032	4.404585	2.1618207	15.882904	6.041691	5.477461
bin.0033	17.34765	16.686916	31.40883	12.123226	8.98903
bin.0034	4.9862275	3.2446675	12.358343	5.1512394	3.9808965
bin.0035	12.308893	13.750903	22.790873	9.08432	5.768703
bin.0036	3.345226	2.813229	6.7815695	3.793632	2.024358
bin.0037	11.178925	13.564656	31.098024	11.334784	6.297012
bin.0038	8.485286	9.77526	21.25102	7.857662	5.9430504
bin.0039	4.6363273	5.5964613	10.624035	4.5132694	2.60996
bin.0040	18.915352	28.096693	35.92567	13.878522	9.018503
bin.0041	76.02722	112.271835	156.80011	59.59553	32.859158
bin.0042	58.22395	72.054306	122.35598	47.500298	48.47638
bin.0043	7.2172184	4.590127	12.765667	5.810793	3.5623043
bin.0044	53.11391	85.13709	96.410934	36.76076	20.748386
bin.0045	7.589241	7.221362	14.137913	5.805781	3.969484
bin.0046	10.391953	7.7861876	28.567448	10.400597	11.120955
bin.0047	4.4018416	3.4305394	9.472589	4.4939184	2.7438607
bin.0048	10.1903925	7.8111434	26.08122	9.843437	7.430657
bin.0049	3.8820267	5.6259556	11.555471	5.253128	3.157805
bin.0050	9.433504	12.117781	21.082773	8.0004425	6.315977
bin.0051	6.4836936	11.130991	19.920042	7.41247	5.1843863
bin.0052	6.3594494	6.9187517	12.677369	5.344019	2.9637425
bin.0053	54.183826	68.416664	96.92672	37.170376	23.489832
bin.0054	7.438102	14.753253	21.22369	7.8134766	5.1436653
bin.0055	66.21402	32.46627	187.69862	68.608185	67.413284
bin.0056	14.357099	6.859574	45.50416	16.551151	16.51522
bin.0057	17.800495	15.876176	40.952595	15.410288	13.815699
bin.0058	205.76483	174.49847	506.87454	187.71133	157.25974
bin.0059	148.98552	172.9518	297.6225	112.513145	85.455246
bin.0060	24.26994	35.7526	75.84089	27.16246	22.444971
bin.0061	15.136013	14.072111	31.0012	11.985091	11.035812
bin.0062	5.7189527	5.3435493	11.472124	5.021595	3.0543332
bin.0063	40.75423	25.934027	101.13398	38.326286	37.77171
bin.0064	7.1387763	6.488189	24.948536	9.019433	7.4584045
bin.0065	179.61453	323.28717	425.07535	157.01265	146.05685
bin.0066	4.9714828	4.5342436	15.683314	6.030055	4.5508933
bin.0067	12.00171	16.252663	25.545212	9.30728	4.325515
bin.0068	6.636005	7.6199813	12.754282	5.2522216	2.7878923
bin.0069	8.602066	3.2172105	30.289274	10.429387	10.311744
bin.0070	44.903503	85.351814	119.95344	44.982277	33.40835
bin.0071	67.814095	72.413795	138.7394	52.901203	41.05462
bin.0072	7.8457937	8.090221	14.353741	5.760637	3.6858368
bin.0073	51.89263	7.4197454	153.74307	57.33432	73.5372
bin.0074	6.9885626	8.167655	12.668879	5.354729	3.090941
bin.0075	13.86294	17.447744	26.67678	10.223675	6.7489266
bin.0076	6.094896	4.0895596	25.243517	8.761686	8.312585
bin.0077	18.846525	26.557737	34.714428	13.086729	8.580387
bin.0078	11.321678	11.0931015	21.57996	8.584871	6.530133
bin.0079	9.400616	11.785159	17.383501	6.918661	4.4781137
bin.0080	12.469692	20.37249	28.396347	10.890177	7.492631
bin.0081	38.87045	46.00808	69.4513	26.877008	18.826097
bin.0082	94.974915	120.380135	211.32436	79.65815	56.1474
bin.0083	7.9496098	5.688679	19.95957	7.6504297	5.6933284
bin.0084	6.8496475	4.679707	19.556295	7.6218977	5.9797225
bin.0085	50.345184	76.09172	93.63877	35.33962	21.355192
bin.0086	10.586891	13.368286	17.601345	7.073876	5.2300134
bin.0087	90.23537	146.96558	158.57281	60.499645	43.54879
bin.0088	7.0024667	7.8711715	16.83313	6.9494557	4.653897
bin.0089	7.5580807	4.1474714	20.077003	8.299419	6.272376
bin.0090	39.880165	19.854826	184.64253	62.634274	61.258602
bin.0091	38.470768	59.976616	73.29768	27.62072	16.945156
bin.0092	5.5545545	8.207637	8.372353	4.1199765	2.0166848
bin.0093	22.030912	30.033094	78.66275	27.193853	22.646229
bin.0094	4.5823483	5.34195	10.973189	5.0388036	3.0785272
bin.0095	120.72965	69.16288	540.66064	188.11967	172.34221
bin.0096	26.879236	8.942342	133.8219	45.562828	51.523792
bin.0097	55.92814	68.520676	99.90672	37.43589	24.19858
bin.0098	3.6675682	5.98888	7.0698323	3.8126528	1.4274771
bin.0099	83.45372	97.00438	155.78793	58.326366	39.061584
bin.0100	221.34953	257.32144	512.30066	189.06757	137.47807
bin.0101	7.067724	9.32764	15.236025	6.2143445	4.56552
bin.0102	25.544888	31.382011	45.49733	17.746073	9.946529
bin.0103	6.652043	7.179694	12.891124	5.4900894	3.4420736
bin.0104	8.639875	12.288093	22.675299	8.454865	5.760954
bin.0105	31.559507	38.38247	57.36092	21.941738	14.59771
bin.0106	8.90408	14.873152	24.650501	9.536742	6.313898
bin.0107	5.7608705	1.0039548	16.2235	6.733082	7.6731963
bin.0108	9.283071	10.459303	19.674114	7.757893	5.151732
bin.0109	24.870367	29.723372	46.710487	17.718943	15.093506
bin.0110	9.10948	7.550541	18.188805	7.3880143	6.5462375
bin.0111	4.704493	5.2888045	9.902652	4.613987	2.7856464
bin.0112	30.539347	16.495695	99.95244	35.523167	33.332855
bin.0113	361.0912	159.92151	1539.2242	524.2588	481.1164
bin.0114	29.020641	28.758747	57.94241	22.772331	19.39921
bin.0115	4.9696736	2.2695155	24.883053	8.798966	6.2845125
bin.0116	5.3865423	5.2786846	14.849103	5.82983	4.102725
bin.0117	6.1924767	3.2944634	34.853714	11.635803	14.37167
bin.0118	28.479546	19.01255	93.224815	33.203716	29.02998
bin.0119	6.952104	8.161165	15.210879	6.229726	3.8798618
bin.0120	7.349808	10.691902	17.872002	6.8706665	5.0212665
