Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0000	0.13172716	0.20375144	0.12754893	0.1267421	0.116328955
bin.0001	0.039827477	0.047650333	0.03292452	0.028659701	0.032683972
bin.0002	0.06489727	0.07185588	0.051632207	0.05309596	0.031912267
bin.0003	1.300927	0.61387813	1.4672856	1.4878589	1.7849367
bin.0004	0.14509036	0.14556852	0.10460502	0.11073694	0.09011337
bin.0005	0.19444376	0.24202631	0.17414549	0.1729277	0.17736848
bin.0006	0.45534894	0.70887035	0.54149437	0.5480969	0.5340491
bin.0007	0.15097064	0.20709743	0.14553842	0.1471026	0.13749544
bin.0008	0.1191592	0.08117937	0.19721074	0.18428922	0.21730219
bin.0009	0.10415125	0.1680063	0.09717563	0.098808825	0.07365578
bin.0010	0.22446932	0.22358596	0.15656352	0.162987	0.13232736
bin.0011	1.03336	0.13541779	1.1513569	1.1840895	1.8393273
bin.0012	0.8111944	0.86263114	0.5808611	0.62011415	0.5372832
bin.0013	0.7770311	0.46358392	0.7605378	0.79637104	0.9590467
bin.0014	0.031084597	0.031472098	0.033884067	0.025635077	0.022001198
bin.0015	0.054011703	0.052275505	0.051487733	0.0478068	0.044112034
bin.0016	0.51055974	0.14597197	1.0098991	0.94442594	1.3179753
bin.0017	0.087610886	0.09198303	0.07634436	0.07852581	0.07144922
bin.0018	5.183304	3.8840394	6.0887213	6.045881	6.6847796
bin.0019	0.046754837	0.052865338	0.038826406	0.040738184	0.026979169
bin.0020	0.11879605	0.062184803	0.27854654	0.25185305	0.38577405
bin.0021	0.014421483	0.008786235	0.036542058	0.028406477	0.027297715
bin.0022	0.057103086	0.06912367	0.03905578	0.039335184	0.029261326
bin.0023	0.12978339	0.14933449	0.10493075	0.11581147	0.09003157
bin.0024	0.044134207	0.029145641	0.04651256	0.044211447	0.059141193
bin.0025	0.03245816	0.018272968	0.04739021	0.038039558	0.03026093
bin.0026	0.04406957	0.022355124	0.040718604	0.03332678	0.037858374
bin.0027	0.105396576	0.09678343	0.08569341	0.08704188	0.077065445
bin.0028	0.06527376	0.07427573	0.054754924	0.05746388	0.055361044
bin.0029	0.10070558	0.10338664	0.080002286	0.08514548	0.046787135
bin.0030	0.16584097	0.20009157	0.12151501	0.13077696	0.10188376
bin.0031	0.031432603	0.02580966	0.0413948	0.035495564	0.020817472
bin.0032	0.12880284	0.14042495	0.10700174	0.11111913	0.10291685
bin.0033	0.06945175	0.046001006	0.13944392	0.12542789	0.11076197
bin.0034	0.036419023	0.032439582	0.04347105	0.03345488	0.044950362
bin.0035	0.061976865	0.05858672	0.06315519	0.05768956	0.044608064
bin.0036	0.13426444	0.15265441	0.10199951	0.10419109	0.07311654
bin.0037	0.040006764	0.023392545	0.043960787	0.03911956	0.044754416
bin.0038	0.06197271	0.055240218	0.04983392	0.045733698	0.05123834
bin.0039	0.12794672	0.17125782	0.09259203	0.08898083	0.06813927
bin.0040	7.643545	10.156303	5.071265	5.355313	4.883975
bin.0041	1.5654953	1.7484517	1.1512029	1.1999743	0.97226423
bin.0042	0.10216641	0.063692324	0.102464214	0.1061636	0.11342391
bin.0043	0.7079328	0.3896416	1.3551129	1.2724724	1.5250328
bin.0044	0.034583807	0.037649166	0.03392451	0.029552614	0.013756203
bin.0045	0.38235724	0.31078547	0.30337325	0.31163818	0.29204088
bin.0046	0.37961712	0.5330474	0.28743774	0.30041865	0.23985043
bin.0047	0.036518347	0.051927067	0.035639502	0.02686445	0.018876811
bin.0048	0.046223618	0.046089526	0.037171055	0.032992207	0.033151638
bin.0049	0.18940862	0.2921177	0.19392161	0.20390409	0.17094032
bin.0050	0.052075174	0.057188846	0.039367948	0.036060683	0.03583072
bin.0051	0.11437512	0.16981593	0.11429735	0.11505545	0.09073265
bin.0052	0.10649469	0.03388416	0.2127418	0.19481471	0.18268463
bin.0053	0.27566358	0.21594784	0.22545733	0.23900604	0.24090908
bin.0054	0.7731214	0.6894785	0.5421633	0.5626942	0.4846425
bin.0055	0.08306567	0.092502974	0.06244016	0.0667524	0.04470119
bin.0056	0.03586622	0.037197236	0.04119662	0.036460117	0.029681874
bin.0057	3.8295596	3.086624	3.7446313	3.81735	3.9221861
bin.0058	0.05539609	0.06649686	0.08717496	0.08434871	0.09363067
bin.0059	0.0544952	0.08138344	0.04743549	0.05209376	0.0331226
bin.0060	0.052842725	0.0664023	0.041408785	0.040364046	0.039759982
bin.0061	0.030164879	0.043870427	0.04674447	0.04049028	0.035426788
bin.0062	0.13234098	0.15537295	0.11280739	0.118647076	0.11212433
bin.0063	0.044023957	0.097514816	0.046682984	0.050845847	0.04614674
bin.0064	0.04315017	0.050688013	0.045282148	0.0439189	0.034894392
bin.0065	0.09341186	0.0812811	0.11853722	0.11698384	0.118102506
bin.0066	0.052295994	0.047082826	0.043212723	0.040954668	0.034425464
bin.0067	0.6688014	0.30784586	0.80744594	0.7952953	0.89309865
bin.0068	0.048911247	0.0058457917	0.04810901	0.04537153	0.057934314
bin.0069	0.2190719	0.15328269	0.23099366	0.22873653	0.30220208
bin.0070	0.058305595	0.040565763	0.060917035	0.05736287	0.06295
bin.0071	0.03728587	0.02000151	0.057439964	0.0517684	0.055930898
bin.0072	0.03168564	0.026018688	0.035293423	0.027927581	0.024050273
bin.0073	0.13804403	0.14542814	0.1056134	0.11205232	0.09444461
bin.0074	0.2878254	0.22538228	0.22540364	0.23773444	0.25767797
bin.0075	0.057365436	0.043660756	0.05158679	0.051092	0.0548619
bin.0076	0.36175984	0.5245087	0.2504995	0.27418298	0.33366907
bin.0077	0.5929268	0.5485435	0.4576683	0.49991867	0.51851666
bin.0078	0.06554996	0.06833916	0.05367668	0.05747877	0.0625392
bin.0079	0.08505631	0.07536422	0.06604462	0.06641039	0.06394976
bin.0080	0.06742986	0.08408308	0.05530574	0.054899976	0.032934774
bin.0081	1.3148808	1.1968522	1.0752817	1.1174135	1.0857509
bin.0082	0.06439818	0.08191085	0.059715297	0.06289436	0.04589091
bin.0083	0.8152989	0.8533751	0.59231156	0.6253817	0.551626
bin.0084	0.04642757	0.049612757	0.038255706	0.03564011	0.04453511
bin.0085	0.28251004	0.31108928	0.21637982	0.22325267	0.18745524
bin.0086	1.2039734	1.3285228	0.88827795	0.9235586	0.74779665
bin.0087	0.019080859	0.035748392	0.03027378	0.02431622	0.027163083
bin.0088	0.07321368	0.07364208	0.07228668	0.07086034	0.05979804
bin.0089	0.046751622	0.061893545	0.034906607	0.034146566	0.028517669
